,Hotel,Price €,Street,Area,Zip
294,Novotel Berlin Mitte,€ 106,Fischerinsel 12, Mitte," 10179 Berlin, Germany"
295,Ootel.com,€ 43,Allee der Kosmonauten 32, Marzahn-Hellersdorf," 12681 Berlin, Germany"
297,Ocak Hotel & Apartment,€ 101,Jülicher Straße 15, Mitte," 13357 Berlin, Germany"
299,Hotel B1,€ 54,Am Niederfeld 7, Marzahn-Hellersdorf," 12621 Berlin, Germany"
300,LebensQuelle am Checkpoint Charlie,€ 79,Axel-Springer-Str. 42, Friedrichshain-Kreuzberg," 10969 Berlin, Germany"
301,Hotel BELLEVUE am Kurfürstendamm,€ 73,Emserstr. 19-20, Charlottenburg-Wilmersdorf," 10719 Berlin, Germany"
304,Hotel Adelante Berlin-Mitte,€ 120,Borsigstr. 1, Mitte," 10115 Berlin, Germany"
306,Solitaire Hotel,€ 85,Hermann-Hesse-Str. 64, Pankow," 13156 Berlin, Germany"
308,The Aga's Hotel Berlin,€ 73,Rhinstr. 42, Marzahn-Hellersdorf," 12681 Berlin, Germany"
309,Albergo City Hotel Berlin,€ 104,Hohenzollerndamm 33, Charlottenburg-Wilmersdorf," 10713 Berlin, Germany"
310,HOLI-Berlin Hotel,€ 57,Wönnichstraße 69-71, Lichtenberg," 10317 Berlin, Germany"
311,SensCity Hotel Berlin Spandau,€ 75,Heidereuterstr. 37-38, Spandau," 13597 Berlin, Germany"
314,Novotel Berlin Am Tiergarten,€ 122,Straße des 17. Juni 106-108, Charlottenburg-Wilmersdorf," 10623 Berlin, Germany"
316,Living Hotel Berlin Mitte,€ 79,Neue Rossstr. 13, Mitte," 10179 Berlin, Germany"
317,Hotel BIG MAMA Berlin,€ 73,Koloniestrasse 24, Mitte," 13359 Berlin, Germany"
318,Hotel Brandies an der Messe,€ 97,Kaiserdamm 27, Charlottenburg-Wilmersdorf," 14057 Berlin, Germany"
319,Mercure Hotel Chateau Berlin am Kurfürstendamm,€ 94,Knesebeckstr. 38-49, Charlottenburg-Wilmersdorf," 10719 Berlin, Germany"
320,Check In Hotel,€ 71,Michael-Brückner-Str. 1A, Treptow-Köpenick," 12439 Berlin, Germany"
322,Boutique Hotel Alexander,€ 77,Pariser Str. 37, Charlottenburg-Wilmersdorf," 10707 Berlin, Germany"
323,Golden Tulip Berlin Hotel Hamburg,€ 93,Landgrafenstr. 4, Mitte," 10787 Berlin, Germany"
324,Hotel Castell am Kurfürstendamm,€ 55,Wielandstr. 24, Charlottenburg-Wilmersdorf," 10707 Berlin, Germany"
325,ABION Villa Suites,€ 170,Alt-Moabit 99, Mitte," 10559 Berlin, Germany"
326,Hotel-Maison Am Olivaer Platz,€ 71,Leibnizstr. 57, Charlottenburg-Wilmersdorf," 10629 Berlin, Germany"
327,IBB Blue Hotel Adlershof Berlin-Airport,€ 78,Groß-Berliner Damm 71, Treptow-Köpenick," 12487 Berlin, Germany"
329, Apartments Mitte,€ 97,Invalidenstr. 32-33, Mitte," 10115 Berlin, Germany"
330,Boutique Hotel Fährhaus,€ 107,Aalemannufer 31, Spandau," 13587 Berlin, Germany"
331,DAS SCHMÖCKWITZ,€ 180,Wernsdorfer Straße 43, Treptow-Köpenick," 12527 Berlin, Germany"
332,Hotel Sylter Hof Berlin Superior,€ 163,Kurfürstenstr. 114-116, 10787 Berlin, Germany
333,Courtyard by Marriott Berlin City Center,€ 131,Axel-Springer-Str. 55, Mitte," 10117 Berlin, Germany"
334,Dietrich-Bonhoeffer-Hotel Berlin Mitte,€ 139,Ziegelstr. 30, Mitte," 10117 Berlin, Germany"
335,A25Hotel,€ 103,Hagenstraße 1a, Pankow," 13125 Berlin, Germany"
336,Hotel ARRIVAL,€ 66,Lietzenburger Str. 30, Charlottenburg-Wilmersdorf," 10789 Berlin, Germany"
338,Hotel Arena Rooms - Berlin Mitte,€ 72,Habersaathstraße 40a-42, Mitte," 10115 Berlin, Germany"
339,Mercure Hotel Berlin Zentrum,€ 80,Fuggerstr. 8, Tempelhof-Schöneberg," 10777 Berlin, Germany"
340,Hotel Riehmers Hofgarten,€ 149,Yorckstr. 83, Friedrichshain-Kreuzberg," 10965 Berlin, Germany"
341,Garden Living - Boutique Hotel,€ 119,Invalidenstraße 101, Mitte," 10115 Berlin, Germany"
342,Novum Style Hotel Aldea,€ 81,Bülowstraße 19, Tempelhof-Schöneberg," 10783 Berlin, Germany"
344,Monbijou Hotel,€ 132,Monbijouplatz 1, Mitte," 10178 Berlin, Germany"
345,SORAT Hotel Ambassador,€ 95,Bayreuther Str. 42-43, Tempelhof-Schöneberg," 10787 Berlin, Germany"
346,Hotel St.-Michaels-Heim,€ 104,Bismarckallee 23, Charlottenburg-Wilmersdorf," 14193 Berlin, Germany"
347,Louisa's Place,€ 151,Kurfürstendamm 160, Charlottenburg-Wilmersdorf," 10709 Berlin, Germany"
349,Hotel Pension Savoy near Kurfürstendamm,€ 83,Meineke Str. 4, Charlottenburg-Wilmersdorf," 10719 Berlin, Germany"
350,Hotel Die Schule,€ 118,Kastanienallee 82, Prenzlauer Berg," 10435 Berlin, Germany"
351,Hotel Pension Xantener Eck,€ 74,Xantener Str. 1, Charlottenburg-Wilmersdorf," 10707 Berlin, Germany"
352,Hotel Franke,€ 70,Albrecht-Achilles-Str. 57, Charlottenburg-Wilmersdorf," 10709 Berlin, Germany"
353,Gaijin Hotel,€ 112,2 Nollendorfplatz, Tempelhof-Schöneberg," 10777 Berlin, Germany"
354,Orania.Berlin,€ 173,Oranienplatz 17, Friedrichshain-Kreuzberg," 10999 Berlin, Germany"
355,Arte Luise Kunsthotel,€ 65,Luisenstr. 19, Mitte," 10117 Berlin, Germany"
356,Hotel Amelie Berlin West,€ 89,Kaiserdamm 29, Charlottenburg-Wilmersdorf," 14057 Berlin, Germany"
358,Hotel Q! Berlin,€ 119,Knesebeckstr. 67, Charlottenburg-Wilmersdorf," 10623 Berlin, Germany"
