name,price,area,source
17817100,107,Friedrichshain-Kreuzberg,airbnb
13507504,64,Friedrichshain-Kreuzberg,airbnb
13419585,33,Friedrichshain-Kreuzberg,airbnb
2923100,39,Friedrichshain-Kreuzberg,airbnb
14270719,34,Friedrichshain-Kreuzberg,airbnb
17886143,58,Friedrichshain-Kreuzberg,airbnb
10912941,17,Friedrichshain-Kreuzberg,airbnb
1153584,44,Pankow,airbnb
16153479,40,Pankow,airbnb
1379728,49,Pankow,airbnb
702921,76,Pankow,airbnb
203634,112,Pankow,airbnb
17572305,35,Pankow,airbnb
13280960,76,Pankow,airbnb
16374751,35,Pankow,airbnb
9800980,89,Pankow,airbnb
16155000,116,Pankow,airbnb
1994486,35,Pankow,airbnb
8992153,40,Pankow,airbnb
15270880,44,Charlottenburg-Wilm.,airbnb
17094552,13,Lichtenberg,airbnb
3778980,31,Lichtenberg,airbnb
7709357,53,Lichtenberg,airbnb
3988366,28,Lichtenberg,airbnb
16196870,53,Lichtenberg,airbnb
12155588,44,Lichtenberg,airbnb
14878597,22,Lichtenberg,airbnb
5107207,31,Lichtenberg,airbnb
15427577,44,Reinickendorf,airbnb
9289287,22,Neukölln,airbnb
17757384,31,Neukölln,airbnb
4847553,66,Neukölln,airbnb
5810024,44,Neukölln,airbnb
9104690,25,Neukölln,airbnb
16362486,22,Neukölln,airbnb
9241624,32,Neukölln,airbnb
16398939,35,Neukölln,airbnb
10903279,28,Neukölln,airbnb
17041695,28,Neukölln,airbnb
8851893,28,Neukölln,airbnb
15406878,17,Reinickendorf,airbnb
12431715,26,Reinickendorf,airbnb
16681028,107,Charlottenburg-Wilm.,airbnb
2038846,31,Friedrichshain-Kreuzberg,airbnb
12986147,76,Friedrichshain-Kreuzberg,airbnb
15583071,22,Friedrichshain-Kreuzberg,airbnb
10847495,44,Friedrichshain-Kreuzberg,airbnb
7005097,44,Friedrichshain-Kreuzberg,airbnb
14025936,24,Friedrichshain-Kreuzberg,airbnb
8921622,116,Charlottenburg-Wilm.,airbnb
17873850,89,Charlottenburg-Wilm.,airbnb
10951474,21,Charlottenburg-Wilm.,airbnb
547804,58,Friedrichshain-Kreuzberg,airbnb
3070102,53,Friedrichshain-Kreuzberg,airbnb
9504712,20,Friedrichshain-Kreuzberg,airbnb
17636623,35,Friedrichshain-Kreuzberg,airbnb
492776,62,Friedrichshain-Kreuzberg,airbnb
17246910,34,Friedrichshain-Kreuzberg,airbnb
18447207,53,Friedrichshain-Kreuzberg,airbnb
9116672,101,Charlottenburg-Wilm.,airbnb
1965142,15,Charlottenburg-Wilm.,airbnb
15198251,31,Charlottenburg-Wilm.,airbnb
16679665,152,Charlottenburg-Wilm.,airbnb
8484404,67,Charlottenburg-Wilm.,airbnb
14509929,35,Charlottenburg-Wilm.,airbnb
18399781,40,Charlottenburg-Wilm.,airbnb
2481413,28,Charlottenburg-Wilm.,airbnb
14854731,80,Charlottenburg-Wilm.,airbnb
8360878,81,Charlottenburg-Wilm.,airbnb
4424125,67,Charlottenburg-Wilm.,airbnb
13648211,40,Charlottenburg-Wilm.,airbnb
12334311,26,Charlottenburg-Wilm.,airbnb
177486,53,Charlottenburg-Wilm.,airbnb
6470469,44,Charlottenburg-Wilm.,airbnb
1309100,80,Charlottenburg-Wilm.,airbnb
10064570,62,Charlottenburg-Wilm.,airbnb
17248912,121,Charlottenburg-Wilm.,airbnb
8576792,26,Steglitz - Zehlendorf,airbnb
18594441,211,Steglitz - Zehlendorf,airbnb
3103066,30,Spandau,airbnb
15656076,59,Spandau,airbnb
11732856,31,Spandau,airbnb
16216230,69,Steglitz - Zehlendorf,airbnb
5460421,80,Steglitz - Zehlendorf,airbnb
13621433,67,Steglitz - Zehlendorf,airbnb
17308345,71,Steglitz - Zehlendorf,airbnb
13051881,76,Steglitz - Zehlendorf,airbnb
13336656,49,Tempelhof - Schöneberg,airbnb
12249699,89,Tempelhof - Schöneberg,airbnb
18487626,40,Tempelhof - Schöneberg,airbnb
10052934,40,Tempelhof - Schöneberg,airbnb
15742896,31,Tempelhof - Schöneberg,airbnb
11875242,26,Tempelhof - Schöneberg,airbnb
17568547,35,Tempelhof - Schöneberg,airbnb
5971513,80,Treptow - Köpenick,airbnb
3773998,26,Treptow - Köpenick,airbnb
13964786,32,Treptow - Köpenick,airbnb
3727033,44,Treptow - Köpenick,airbnb
16966178,31,Treptow - Köpenick,airbnb
13284344,40,Treptow - Köpenick,airbnb
8297396,17,Treptow - Köpenick,airbnb
6180836,58,Mitte,airbnb
6508509,44,Mitte,airbnb
871235,64,Mitte,airbnb
7687245,67,Mitte,airbnb
11764609,26,Mitte,airbnb
5767086,19,Mitte,airbnb
11473883,26,Mitte,airbnb
7608359,25,Mitte,airbnb
17888511,62,Mitte,airbnb
10546708,17,Mitte,airbnb
5166102,22,Mitte,airbnb
16837494,16,Mitte,airbnb
8291685,28,Mitte,airbnb
3970161,40,Mitte,airbnb
9586360,31,Mitte,airbnb
3292893,67,Mitte,airbnb
16582873,67,Mitte,airbnb
2884868,80,Mitte,airbnb
1343738,62,Friedrichshain-Kreuzberg,airbnb
768330,35,Friedrichshain-Kreuzberg,airbnb
9106724,31,Friedrichshain-Kreuzberg,airbnb
15839576,35,Friedrichshain-Kreuzberg,airbnb
16821096,124,Friedrichshain-Kreuzberg,airbnb
9446553,134,Friedrichshain-Kreuzberg,airbnb
11589376,16,Friedrichshain-Kreuzberg,airbnb
14226951,22,Friedrichshain-Kreuzberg,airbnb
18471677,17,Friedrichshain-Kreuzberg,airbnb
9202874,61,Friedrichshain-Kreuzberg,airbnb
16421841,24,Friedrichshain-Kreuzberg,airbnb
5395504,22,Friedrichshain-Kreuzberg,airbnb
765271,36,Friedrichshain-Kreuzberg,airbnb
16452817,35,Friedrichshain-Kreuzberg,airbnb
398962,71,Friedrichshain-Kreuzberg,airbnb
17690872,29,Mitte,airbnb
18205020,71,Mitte,airbnb
7434973,98,Mitte,airbnb
17259371,23,Mitte,airbnb
12865017,58,Mitte,airbnb
7817591,22,Mitte,airbnb
8592135,13,Mitte,airbnb
3605741,40,Mitte,airbnb
8283733,49,Mitte,airbnb
14079440,12,Mitte,airbnb
9574264,26,Mitte,airbnb
11672994,17,Mitte,airbnb
13469199,58,Mitte,airbnb
13082127,49,Mitte,airbnb
11987317,26,Mitte,airbnb
14393952,44,Mitte,airbnb
9806199,53,Mitte,airbnb
16422655,22,Mitte,airbnb
4375818,53,Mitte,airbnb
14795265,35,Mitte,airbnb
14314232,89,Mitte,airbnb
16865591,49,Mitte,airbnb
